rank,title,rating,show_type,episodes,run_time,member_count
118a,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,TV,26,Jan 2004 - Jan 2005,221338
119a,Sora yori mo Tooi Basho,8.52,TV,13,Jan 2018 - Mar 2018,481086
120a,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie,1,Apr 2010 - Apr 2010,157840
121a,Gintama.: Porori-hen,8.52,TV,13,Oct 2017 - Dec 2017,192205
122a,Hotaru no Haka,8.51,Movie,1,Apr 1988 - Apr 1988,640460
123a,Summertime Render,8.51,TV,25,Apr 2022 - Sep 2022,447353
124a,Yakusoku no Neverland,8.51,TV,12,Jan 2019 - Mar 2019,1874716
125a,Samurai Champloo,8.51,TV,26,May 2004 - Mar 2005,1191203
126a,Shingeki no Kyojin Season 2,8.51,TV,12,Apr 2017 - Jun 2017,2578373
127a,Kimetsu no Yaiba,8.50,TV,26,Apr 2019 - Sep 2019,2828706
128a,One Punch Man,8.50,TV,12,Oct 2015 - Dec 2015,3071085
129a,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.50,Movie,1,Jan 2019 - Jan 2019,366779
130a,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV,39,Apr 2016 - Dec 2016,1061701
131a,Ansatsu Kyoushitsu 2nd Season,8.49,TV,25,Jan 2016 - Jul 2016,1366357
132a,Mob Psycho 100,8.49,TV,12,Jul 2016 - Sep 2016,1965897
133a,Uchuu Kyoudai,8.49,TV,99,Apr 2012 - Mar 2014,187592
134a,Aria the Origination,8.48,TV,13,Jan 2008 - Apr 2008,124253
135a,Banana Fish,8.48,TV,24,Jul 2018 - Dec 2018,814612
136a,Rainbow: Nisha Rokubou no Shichinin,8.48,TV,26,Apr 2010 - Sep 2010,381879
137a,Road of Naruto,8.48,ONA,1,Oct 2022 - Oct 2022,27458
138a,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47,Movie,1,Oct 2013 - Oct 2013,362855
139a,Chihayafuru 3,8.47,TV,24,Oct 2019 - Mar 2020,133354
140a,Gintama: The Semi-Final,8.47,Special,2,Jan 2021 - Jan 2021,69898
141a,Jujutsu Kaisen 0 Movie,8.47,Movie,1,Dec 2021 - Dec 2021,724072
142a,Yuru Camp△ Movie,8.46,Movie,1,Jul 2022 - Jul 2022,67142
143a,Yuu☆Yuu☆Hakusho,8.46,TV,112,Oct 1992 - Jan 1995,656706
144a,Nichijou,8.46,TV,26,Apr 2011 - Sep 2011,856223
145a,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.45,Movie,1,Aug 2019 - Aug 2019,729877
146a,Owarimonogatari,8.45,TV,12,Oct 2015 - Dec 2015,463183
147a,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,Movie,1,Apr 2013 - Apr 2013,573683
148a,Bungou Stray Dogs 4th Season,8.45,TV,13,Jan 2023 - Mar 2023,232239
149a,Fruits Basket: Prelude,8.45,Movie,1,Feb 2022 - Feb 2022,92879
150a,Golden Kamuy 3rd Season,8.45,TV,12,Oct 2020 - Dec 2020,155130
151a,Zoku Owarimonogatari,8.45,Movie,6,Nov 2018 - Nov 2018,215470
152a,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.44,TV,12,Jan 2021 - Mar 2021,824088
153a,Haikyuu!!,8.44,TV,25,Apr 2014 - Sep 2014,1878129
154a,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV,24,Jan 2015 - Jun 2015,1054601
155a,Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie,2,Aug 2012 - Aug 2012,42691
156a,Grand Blue,8.43,TV,12,Jul 2018 - Sep 2018,734651
157a,Karakai Jouzu no Takagi-san 3,8.43,TV,12,Jan 2022 - Mar 2022,172520
158a,Mononoke,8.43,TV,12,Jul 2007 - Sep 2007,310614
159a,Mushishi Zoku Shou: Odoro no Michi,8.43,Special,1,Aug 2014 - Aug 2014,97167
160a,Saenai Heroine no Sodatekata Fine,8.43,Movie,1,Oct 2019 - Oct 2019,173547
161a,Kono Oto Tomare! Part 2,8.42,TV,13,Oct 2019 - Dec 2019,165153
162a,Koukaku Kidoutai: Stand Alone Complex,8.42,TV,26,Oct 2002 - Oct 2003,385932
163a,Mo Dao Zu Shi,8.42,ONA,15,Jul 2018 - Oct 2018,218966
164a,Saiki Kusuo no Ψ-nan,8.42,TV,120,Jul 2016 - Dec 2016,1042104
165a,Saiki Kusuo no Ψ-nan 2,8.42,TV,24,Jan 2018 - Jun 2018,607531
166a,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,8.43,TV,12,Jul 2023 -,119233
167a,Suzume no Tojimari,8.41,Movie,1,Nov 2022 - Nov 2022,236662
168a,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie,1,Sep 2019 - Sep 2019,393385
