rank_id,title,show_type,rating,votes,runtime_minutes,episodes
304b,Minami-ke,TV,7.89,1664,25,13
305b,Blue Gender,TV,6.64,1964,25,26
306b,Ikki Tousen,TV,6.21,2090,24,13
307b,Squid Girl,TV,7.92,1636,24,12
308b,Mobile Suit Gundam 00 Second Season,TV,8.31,1556,24,25
309b,Steamboy,movie,7.38,1749,126,
310b,Kurokami The Animation,TV,7.81,1654,half,23
311b,Demon King Daimao,TV,7.16,1797,24,12
312b,Paradise Kiss,TV,7.90,1623,23,12
313b,Cardcaptor Sakura The Movie 2: The Sealed Card,,8.21,1559,79,
314b,MoonPhase,TV,7.47,1706,24,26
315b,Ai Yori Aoshi ~Enishi~,TV,7.33,1738,half,13
316b,Chaos;HEAd,TV,6.74,1884,27,12
317b,Time of Eve,ONA,8.57,1480,15,6
318b,School Rumble: Extra Class,OAV,8.01,1577,25,2
319b,Haganai,TV,7.55,1663,half,12
320b,Tenchi Universe,TV,7.42,1678,half,26
321b,Mahoromatic - Automatic Maiden,TV,7.49,1662,24,12
322b,CANAAN,TV,7.66,1622,24,13
323b,Shonen Onmyouji,TV,7.95,1562,24,26
324b,Is This a Zombie?,TV,7.56,1636,25,12
